x_original,y_original,z_original,w_original
7.635293850000000049e-01,9.347656789999999605e-01,9.773790100000000480e-01,1.033798272000000074e+00
7.320857010000000331e-01,1.101314340000000058e+00,1.068237322000000100e+00,9.835215760000000085e-01
1.040612963999999918e+00,1.159876217000000098e+00,1.097234993999999908e+00,1.049498384000000062e+00
8.059598679999999682e-01,9.308981739999999672e-01,1.138720619999999961e+00,1.036417192999999903e+00
7.862632449999999995e-01,1.014397374999999935e+00,9.688478659999999465e-01,9.310566239999999993e-01
5.161290300000000164e-02,8.366364670000000503e-01,9.518039400000000150e-01,6.443298969999999848e-01
9.397291119999999776e-01,9.221662950000000247e-01,9.000446650000000215e-01,9.572271650000000465e-01
7.597140260000000422e-01,1.035309040000000014e+00,9.268275449999999749e-01,9.292095790000000077e-01
6.549784690000000076e-01,7.964306359999999696e-01,9.936869379999999641e-01,7.220855099999999860e-01
8.813694730000000144e-01,8.907383970000000151e-01,1.044210866000000015e+00,9.348054620000000314e-01
1.932717680000000104e-01,1.084259156999999973e+00,1.015801353999999934e+00,8.598074610000000506e-01
5.303867399999999677e-01,8.382300649999999687e-01,9.659767989999999971e-01,7.331762240000000430e-01
8.357399469999999830e-01,8.951316660000000480e-01,1.062565329999999975e+00,9.304343999999999948e-01
6.937062939999999456e-01,1.019305018999999923e+00,9.622893670000000066e-01,5.357142860000000395e-01
1.388888889999999876e-01,9.102588000000000346e-01,1.014747172999999947e+00,1.168141593000000089e+00
5.059280029999999595e-01,9.351370679999999602e-01,9.394509899999999858e-01,9.306106960000000150e-01
4.672789900000000052e-01,1.007039398999999946e+00,9.557851240000000415e-01,7.843822839999999852e-01
7.029115089999999899e-01,8.355212389999999711e-01,9.838146389999999908e-01,8.613073789999999841e-01
8.059179130000000413e-01,9.216878240000000444e-01,9.785773140000000314e-01,1.307643310000000114e-01
9.472049689999999522e-01,1.102049542000000049e+00,9.412556229999999857e-01,1.001542860000000035e+00
9.392096530000000332e-01,9.951020990000000177e-01,9.241305520000000495e-01,9.443682639999999573e-01
5.514245300000000238e-01,7.874862289999999820e-01,9.251990669999999861e-01,9.772209570000000012e-01
6.346117510000000017e-01,8.023239450000000383e-01,8.312352870000000449e-01,6.960774060000000096e-01
9.377542220000000261e-01,1.610526316000000069e+00,2.210526316000000158e+00,8.827901339999999486e-01
6.812164779999999586e-01,9.377349419999999602e-01,1.042944311999999929e+00,8.307768340000000196e-01
8.049142599999999925e-01,1.028310478999999944e+00,1.005936460000000032e+00,9.812730360000000429e-01
1.523138832999999970e+00,1.425058547999999981e+00,4.861445779999999939e-01,1.231362467999999932e+00
8.065348930000000305e-01,9.542136519999999678e-01,1.063169991999999953e+00,1.005156769999999922e+00
3.813407420000000103e-01,7.449828120000000498e-01,1.020467951999999956e+00,7.176279669999999777e-01
8.969375360000000352e-01,1.071183275999999962e+00,1.055452636999999916e+00,1.011752256999999933e+00
3.097663270000000080e-01,1.069825534000000022e+00,1.139867487000000068e+00,5.190746750000000409e-01
9.129907760000000039e-01,1.007169803999999891e+00,9.682642169999999826e-01,8.938530409999999593e-01
1.271341462999999949e+00,9.597166980000000347e-01,8.997123399999999993e-01,8.192131310000000388e-01
9.559840790000000421e-01,1.201145311000000104e+00,7.401574800000000343e-01,1.022974856000000043e+00
5.820139330000000388e-01,9.482936520000000424e-01,1.089727195000000037e+00,6.551422319999999910e-01
8.357882300000000209e-01,9.740339709999999984e-01,9.536092539999999618e-01,9.317692969999999963e-01
8.013856809999999609e-01,8.565127900000000238e-01,4.635010629999999909e-01,1.095942799999999995e+00
9.383308540000000475e-01,1.089127350000000050e+00,1.015711551999999962e+00,9.236223009999999789e-01
8.800039090000000286e-01,9.076733059999999575e-01,8.678673129999999736e-01,8.934564900000000476e-01
7.294257880000000194e-01,7.588202090000000233e-01,9.081707620000000203e-01,7.712678039999999458e-01
5.851063829999999522e-01,8.841442010000000185e-01,1.004479351999999936e+00,6.675903349999999792e-01
1.031604568000000111e+00,1.371012871000000022e+00,1.486709440999999909e+00,1.027539908999999918e+00
1.088199512999999952e+00,7.420644250000000275e-01,7.671157039999999538e-01,8.393367919999999982e-01
5.529272619999999749e-01,8.611101620000000123e-01,1.191012057000000013e+00,1.029371172000000056e+00
6.153846149999999682e-01,1.028997074000000067e+00,1.404222048000000056e+00,1.294685990000000064e+00
5.753424660000000523e-01,8.548074100000000453e-01,9.992439340000000003e-01,1.091893911000000106e+00
8.437047760000000451e-01,9.503424660000000523e-01,9.159160870000000454e-01,7.279976369999999752e-01
9.904426560000000324e-01,1.040279238999999967e+00,9.447395400000000443e-01,8.118811879999999759e-01
9.646405270000000254e-01,9.578148100000000165e-01,1.053609392000000033e+00,1.038548768000000067e+00
9.369270499999999835e-01,9.800985220000000275e-01,1.295809366999999934e+00,9.978848190000000340e-01
9.284209220000000373e-01,1.111049106999999925e+00,9.898259099999999755e-01,9.850802770000000042e-01
8.359181359999999783e-01,1.043521236999999990e+00,1.096444930000000095e+00,9.921169800000000372e-01
9.205352679999999621e-01,9.965209800000000007e-01,9.855218199999999928e-01,9.519150650000000047e-01
7.925090129999999844e-01,9.201740430000000526e-01,9.266009630000000552e-01,9.413119030000000054e-01
4.763728629999999797e-01,9.338091370000000113e-01,9.745883459999999943e-01,8.885545609999999650e-01
2.056015280000000056e-01,1.099293861999999899e+00,8.535567349999999553e-01,8.943041689999999821e-01
1.000000000000000000e+00,9.558752999999999833e-01,1.353403141000000032e+00,1.004338394999999995e+00
